"Player","Team","REC","YDS","TDS","FL","FPTS"
"","high","13.0","117.8","1.0","0.0","26.4"
"","low","4.4","37.1","0.0","0.3","9.9"
"Hunter Long","LAR","5.3","94.3","0.5","0.1","14.8"
"","high","7.3","172.7","0.5","0.0","31.5"
"","low","3.4","33.8","0.4","0.1","12.3"
"Reggie Gilliam","BUF","8.3","64.8","0.6","0.0","14.8"
"","high","13.0","110.0","1.0","0.0","14.1"
"","low","3.6","19.6","0.2","0.0","11.4"
"James Mitchell","DET","5.8","87.1","0.5","0.0","14.2"
"","high","13.0","172.7","1.0","0.0","31.7"
"","low","0.4","4.9","0.0","0.1","4.1"
"Andrew Beck","HOU","8.5","66.0","0.3","0.0","14.2"
"","high","8.5","84.8","0.6","0.0","26.3"
"","low","8.5","47.2","0.0","0.0","11.0"
"Cole Turner","WAS","3.7","101.8","0.3","0.1","13.9"
"","high","3.8","232.8","0.4","0.0","39.6"
"","low","3.6","33.6","0.2","0.2","6.7"
"Jesper Horsted","LV","5.8","74.0","0.5","0.0","13.3"
"","high","11.0","125.4","1.0","0.0","24.5"
"","low","2.5","34.1","0.2","0.1","7.9"
"Quintin Morris","BUF","5.7","78.3","0.4","0.1","13.2"
"","high","7.3","125.4","0.6","0.0","24.4"
"","low","4.1","40.8","0.3","0.1","9.0"
"Ross Dwelley","SF","3.6","79.2","0.6","0.0","13.2"
"","high","7.0","157.0","2.0","0.0","20.8"
"","low","0.3","3.4","0.0","0.0","2.6"
"Will Mallory","IND","5.1","76.2","0.5","0.0","13.0"
"","high","10.0","137.3","1.0","0.0","26.0"
"","low","0.3","3.3","0.0","0.1","3.3"
"Armani Rogers","WAS","7.3","68.6","0.4","0.0","12.9"
"","high","7.3","69.1","0.5","0.0","16.2"
"","low","7.3","68.2","0.3","0.0","13.5"
"Luke Farrell","JAC","6.1","71.4","0.4","0.0","12.7"
"","high","12.0","121.0","1.0","0.0","18.4"
"","low","2.3","26.4","0.0","0.0","9.0"
"Curtis Hodges","WAS","6.2","59.5","0.6","0.0","12.6"
"","high","10.0","97.0","1.0","0.0","13.1"
"","low","2.3","22.1","0.2","0.0","8.7"
"Johnny Mundt","MIN","5.6","72.0","0.3","0.0","11.9"
"","high","7.0","117.1","0.6","0.0","21.5"
"","low","4.3","37.4","0.0","0.0","8.6"
"Chris Manhertz","DEN","5.1","68.6","0.4","0.0","11.9"
"","high","10.0","125.8","1.0","0.0","23.0"
"","low","1.7","16.5","0.0","0.0","7.7"
"Devin Asiasi","CIN","5.6","61.6","0.4","0.0","11.5"
"","high","12.0","102.8","1.0","0.0","20.8"
"","low","0.5","4.3","0.1","0.1","4.2"
"Shane Zylstra","DET","3.9","72.0","0.3","0.1","10.9"
"","high","3.9","102.8","0.4","0.1","20.0"
"","low","3.9","41.2","0.3","0.1","8.4"
"Anthony Firkser","NE","5.8","54.0","0.4","0.0","10.5"
"","high","5.8","54.0","0.4","0.0","10.5"
"","low","5.8","54.0","0.4","0.0","10.5"
"Grant Calcaterra","PHI","3.1","70.0","0.3","0.1","10.2"
"","high","3.5","149.1","0.4","0.0","26.8"
"","low","2.8","27.6","0.2","0.1","6.1"
"Eric Tomlinson","HOU","5.6","50.4","0.4","0.0","10.1"
"","high","7.5","65.5","0.5","0.0","20.0"
"","low","3.6","35.4","0.2","0.0","7.9"
"Giovanni Ricci","CAR","1.9","70.2","0.3","0.1","10.0"
"","high","1.9","102.8","0.4","0.0","19.0"
"","low","1.9","37.5","0.3","0.1","9.0"
"Tommy Sweeney","NYG","3.7","56.5","0.3","0.1","8.8"
"","high","3.7","79.8","0.3","0.1","16.2"
"","low","3.7","33.3","0.2","0.1","6.5"
"Parker Hesse","ATL","3.3","49.1","0.2","0.0","7.8"
"","high","3.4","87.1","0.4","0.0","16.9"
"","low","3.2","29.5","0.0","0.0","6.0"
"Tanner Conner","MIA","4.0","37.8","0.3","0.0","7.5"
"","high","4.0","37.8","0.3","0.0","7.4"
"","low","4.0","37.8","0.3","0.0","7.4"
"Dominique Dafney","TB","3.7","38.3","0.3","0.0","7.2"
"","high","3.7","38.3","0.3","0.0","7.2"
"","low","3.7","38.3","0.3","0.0","7.2"
"David Wells","TB","3.0","29.5","0.4","0.0","7.1"
"","high","3.0","29.5","0.4","0.0","10.1"
"","low","3.0","29.5","0.4","0.0","10.1"
"Chris Myarick","NYG","3.7","34.1","0.3","0.0","6.8"
"","high","3.7","35.0","0.3","0.0","9.0"
"","low","3.7","33.3","0.2","0.0","6.6"
"Mason Schreck","HOU","3.6","35.2","0.2","0.0","6.8"
"","high","3.6","35.2","0.2","0.0","6.9"
"","low","3.6","35.2","0.2","0.0","6.9"
"Dalton Keene","HOU","3.6","35.1","0.2","0.0","6.8"
"","high","3.6","35.1","0.2","0.0","6.8"
"","low","3.6","35.1","0.2","0.0","6.8"
"Charlie Woerner","SF","3.4","32.0","0.3","0.0","6.8"
"","high","3.5","35.0","0.3","0.0","9.6"
"","low","3.4","27.7","0.3","0.0","6.8"
"Trevon Wesco","TEN","2.4","32.7","0.3","0.0","6.4"
"","high","2.4","35.0","0.3","0.0","8.7"
