"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","37.6","600.0","3.2","10.0","72.0","0.5","0.0","129.9"
"","low","34.0","441.2","1.2","0.0","0.0","0.0","1.0","75.6"
"Marvin Jones Jr.","DET","37.1","484.0","3.0","0.1","0.6","0.0","0.0","85.0"
"","high","40.8","574.5","4.0","0.3","2.5","0.0","0.0","138.5"
"","low","31.4","388.9","1.0","0.0","0.0","0.0","0.0","78.1"
"Tyquan Thornton","NE","35.6","445.2","2.8","3.1","11.8","0.7","0.0","84.5"
"","high","45.7","521.4","3.2","5.2","27.7","1.7","0.0","115.2"
"","low","29.0","333.0","2.1","0.0","0.0","0.0","0.0","66.8"
"Rashee Rice","KC","34.1","488.5","2.8","1.4","9.3","0.0","0.5","82.6"
"","high","52.4","712.3","5.1","2.3","14.5","0.1","0.0","117.8"
"","low","19.7","233.0","1.2","0.0","0.0","0.0","1.0","69.0"
"Joshua Palmer","LAC","37.1","469.2","2.2","0.7","2.4","0.0","0.3","77.9"
"","high","53.0","592.0","3.0","1.0","5.0","0.0","0.0","117.1"
"","low","20.1","258.9","1.3","0.0","0.0","0.0","1.0","52.1"
"Parris Campbell","NYG","35.7","434.6","2.1","3.2","36.5","0.1","0.2","77.9"
"","high","44.0","554.8","3.0","5.6","57.0","0.3","0.0","114.8"
"","low","27.5","289.4","1.4","0.0","0.0","0.0","0.6","56.0"
"Wan'Dale Robinson","NYG","35.4","456.4","1.9","2.5","10.1","0.1","0.5","75.1"
"","high","55.0","637.5","3.0","4.5","28.3","0.2","0.0","122.1"
"","low","17.2","195.1","1.1","0.0","0.0","0.0","1.0","61.7"
"Jalin Hyatt","NYG","31.6","442.0","2.1","1.5","9.8","0.0","0.5","72.9"
"","high","47.4","591.7","3.0","2.5","15.7","0.1","0.0","111.2"
"","low","12.5","146.4","0.9","0.0","0.0","0.0","1.0","50.0"
"Ben Skowronek","LAR","40.8","395.3","1.7","0.5","5.7","0.4","0.0","72.8"
"","high","45.0","531.1","2.7","1.0","14.0","1.0","0.0","134.6"
"","low","32.7","205.5","0.0","0.0","0.0","0.0","0.0","56.1"
"Josh Reynolds","DET","31.9","440.2","2.1","0.4","0.6","0.0","0.2","72.5"
"","high","32.8","497.6","3.0","0.7","1.7","0.0","0.0","103.1"
