"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","77.2","316.8","2.2","17.0","168.6","0.6","0.3","85.6"
"","low","48.8","221.7","0.1","4.0","30.0","0.0","1.1","30.2"
"Zack Moss","IND","69.8","299.9","1.3","10.0","65.1","0.2","0.5","49.7"
"","high","116.0","462.0","2.5","12.5","89.9","0.5","0.3","67.8"
"","low","33.5","147.8","0.2","7.0","36.5","0.0","1.0","30.7"
"Deuce Vaughn","DAL","71.8","244.3","1.3","10.9","96.9","0.5","0.7","49.1"
"","high","108.0","472.0","4.0","17.0","139.0","1.0","0.0","75.4"
"","low","33.1","18.9","0.2","0.8","5.6","0.0","2.0","9.9"
"Abram Smith","MIN","0.0","173.4","1.2","16.2","126.5","0.6","0.1","48.8"
"","high","0.0","173.4","1.2","16.2","126.5","0.6","0.1","65.1"
"","low","0.0","173.4","1.2","16.2","126.5","0.6","0.1","65.1"
"Ronald Jones II","DAL","61.4","293.8","1.8","4.4","40.1","0.1","0.5","46.3"
"","high","78.8","432.7","3.4","7.8","60.6","0.4","0.0","79.6"
"","low","32.0","146.0","0.0","0.0","4.0","0.0","0.8","14.2"
"Isaiah Spiller","LAC","69.4","269.3","1.2","7.9","71.6","0.3","0.3","46.0"
"","high","90.8","372.0","2.2","9.3","129.0","0.4","0.2","68.8"
"","low","55.7","194.3","0.3","5.1","24.1","0.1","0.5","38.9"
"Zamir White","LV","58.6","249.8","1.9","8.3","39.2","0.2","0.2","45.4"
"","high","100.4","427.4","3.1","12.4","84.8","0.6","0.0","85.8"
"","low","0.0","0.0","0.0","4.3","0.0","0.0","0.3","55.3"
"Kenyan Drake","IND","53.2","223.0","1.1","12.6","94.5","0.2","0.2","45.1"
"","high","62.3","319.0","2.2","20.2","193.5","0.5","0.0","93.3"
"","low","44.0","164.0","0.0","5.0","26.0","0.0","0.3","20.3"
"Corey Clement","ARI","56.6","205.9","1.7","11.8","81.3","0.2","0.4","44.9"
"","high","117.0","433.0","5.0","15.0","127.0","0.4","0.0","73.9"
"","low","20.4","85.4","0.0","6.7","40.0","0.0","1.0","23.1"
"Zach Evans","LAR","58.4","222.7","1.3","9.1","86.4","0.4","0.5","44.4"
"","high","100.4","379.8","2.1","13.0","140.9","1.0","0.2","74.7"
"","low","22.6","95.4","0.4","7.0","51.6","0.2","1.0","24.8"
"Sean Tucker","TB","61.2","242.3","1.0","9.2","76.9","0.3","0.3","43.4"
"","high","74.5","312.9","1.8","14.3","102.6","0.6","0.2","59.7"
"","low","35.1","147.2","0.1","4.0","29.2","0.0","0.4","29.3"
"JaMycal Hasty","JAC","36.9","178.2","1.0","13.1","95.1","0.4","0.2","41.7"
"","high","73.0","319.0","2.0","20.0","133.9","1.0","0.0","71.9"
"","low","11.2","47.0","0.1","4.5","30.9","0.0","0.5","17.0"
"Michael Carter","NYJ","41.2","158.9","0.6","13.5","127.2","0.4","0.3","40.6"
"","high","99.2","341.0","1.0","25.2","200.8","0.9","0.2","83.0"
"","low","5.0","20.7","0.2","4.0","29.2","0.0","0.7","13.7"
"Ameer Abdullah","LV","28.1","97.1","0.4","18.4","140.5","0.6","0.1","38.6"
"","high","69.0","264.0","1.0","26.3","225.0","1.1","0.0","54.2"
"","low","11.4","45.4","0.0","8.1","55.6","0.0","0.3","23.4"
"Eric Gray","NYG","50.4","213.0","0.8","8.5","71.6","0.4","0.8","38.3"
"","high","79.0","381.0","2.0","13.0","110.0","1.0","0.1","52.2"
"","low","12.4","51.1","0.0","4.0","28.0","0.0","2.0","15.5"
"Ke'Shawn Vaughn","TB","55.6","219.8","1.3","6.9","45.7","0.2","0.6","37.6"
"","high","80.0","293.9","2.0","8.5","60.2","0.4","0.4","56.8"
"","low","26.0","110.1","0.0","4.0","27.0","0.0","1.0","26.3"
"Melvin Gordon III","BAL","38.7","175.7","0.9","10.5","82.4","0.3","0.8","36.5"
"","high","82.0","339.0","2.1","22.5","197.8","0.8","0.3","96.8"
"","low","5.3","23.0","0.0","3.6","24.2","0.0","1.0","11.1"
"Evan Hull","IND","51.2","199.5","0.7","5.2","70.2","0.1","0.2","33.9"
"","high","92.3","343.7","1.0","7.3","127.5","0.3","0.0","65.6"
"","low","25.3","106.9","0.3","3.0","28.0","0.0","0.5","15.6"
"Trayveon Williams","CIN","52.4","192.4","0.7","8.0","61.2","0.2","0.9","33.3"
"","high","79.0","363.0","1.9","18.1","134.3","0.7","0.0","58.4"
"","low","25.3","9.5","0.0","0.5","4.3","0.0","2.0","6.4"
"Jordan Mason","SF","51.2","231.7","0.9","2.9","32.2","0.1","0.2","33.2"
"","high","106.0","591.0","2.0","4.3","93.0","0.2","0.0","63.5"
"","low","10.1","43.3","0.0","0.0","0.0","0.0","0.4","11.3"
"Raheem Blackshear","CAR","31.5","118.3","1.2","10.9","80.8","0.3","0.4","33.2"
"","high","45.9","162.4","3.0","17.2","131.6","0.6","0.1","47.9"
"","low","11.6","48.9","0.0","6.1","44.1","0.0","1.0","18.3"
"Chris Rodriguez Jr.","WAS","39.1","164.0","0.8","8.7","60.4","0.2","0.2","32.3"
"","high","49.0","207.7","1.4","12.5","88.9","0.4","0.0","51.9"
"","low","32.2","133.3","0.0","3.0","31.0","0.0","0.3","17.3"
"Chris Evans","CIN","40.1","141.5","0.5","9.9","80.0","0.4","0.2","31.7"
"","high","76.8","300.3","0.9","11.2","104.1","0.5","0.1","57.2"
"","low","16.8","71.2","0.1","9.0","67.4","0.0","0.4","24.2"
"Pierre Strong Jr.","NE","44.0","181.0","0.7","5.4","61.0","0.2","0.2","31.5"
"","high","90.8","372.0","1.0","6.9","129.0","0.3","0.0","67.5"
"","low","11.1","47.7","0.3","3.0","21.0","0.0","0.5","15.1"
"Rico Dowdle","DAL","48.1","166.6","0.8","6.4","54.2","0.2","0.1","31.3"
"","high","59.7","252.5","1.7","8.6","66.4","0.5","0.0","47.2"
"","low","36.0","89.0","0.0","3.0","29.0","0.0","0.2","17.2"
"Hassan Haskins","TEN","38.0","143.6","0.4","11.3","76.2","0.2","0.2","30.9"
"","high","58.6","214.3","0.9","16.0","113.3","0.5","0.0","50.3"
"","low","17.7","74.7","0.0","3.7","27.0","0.0","0.3","17.6"
"Kene Nwangwu","MIN","44.7","153.1","0.9","7.3","50.8","0.2","0.2","30.2"
"","high","50.7","218.6","1.9","9.2","66.6","0.4","0.1","48.4"
"","low","37.6","75.0","0.0","5.7","35.7","0.0","0.3","25.0"
"DeeJay Dallas","SEA","19.9","122.0","0.6","9.7","81.3","0.3","0.1","30.0"
"","high","28.4","230.4","1.4","17.7","162.8","0.7","0.0","74.8"
"","low","4.4","18.6","0.0","4.6","30.3","0.0","0.2","11.2"
"Craig Reynolds","DET","24.0","115.8","0.6","8.9","74.2","0.3","0.1","29.2"
"","high","35.0","164.1","1.5","12.3","110.5","0.7","0.0","53.6"
"","low","4.6","19.4","0.0","4.4","36.7","0.0","0.2","12.5"
"Ty Montgomery","NE","22.4","67.1","0.2","14.7","105.9","0.5","0.0","29.0"
"","high","38.3","101.0","0.5","20.8","154.5","1.0","0.0","38.6"
"","low","8.9","38.4","0.0","9.4","69.0","0.0","0.2","20.4"
"Deon Jackson","IND","40.0","98.3","0.4","12.1","86.0","0.4","0.5","28.3"
"","high","56.9","179.0","1.0","27.0","204.0","1.0","0.0","45.2"
"","low","14.0","11.3","0.0","1.2","10.2","0.0","1.0","9.9"
"Anthony McFarland Jr.","PIT","24.4","137.8","0.7","8.2","52.6","0.2","0.2","28.3"
"","high","38.5","270.2","1.5","15.0","105.6","0.4","0.1","67.8"
"","low","5.0","20.9","0.0","3.9","28.5","0.0","0.2","10.7"
"Malik Davis","DAL","48.1","162.2","0.9","3.7","42.3","0.1","0.2","27.8"
"","high","78.9","336.7","2.8","7.0","89.4","0.3","0.0","58.8"
"","low","9.6","25.3","0.0","0.7","5.5","0.0","0.4","6.7"
"DeWayne McBride","MIN","55.7","166.2","0.7","3.4","51.0","0.1","0.2","27.5"
"","high","76.9","276.7","1.2","4.6","102.7","0.2","0.1","52.1"
"","low","34.6","76.5","0.1","2.2","17.0","0.0","0.4","17.7"
"Kyle Juszczyk","SF","9.7","34.1","0.4","13.0","116.1","0.6","0.0","27.5"
"","high","12.5","52.6","1.0","19.0","198.0","1.0","0.0","36.1"
"","low","4.9","13.0","0.0","9.4","84.6","0.0","0.1","23.5"
"Boston Scott","PHI","30.2","138.9","1.1","3.6","34.0","0.1","0.2","25.7"
"","high","51.8","230.4","2.0","5.9","92.7","0.2","0.0","49.4"
"","low","5.3","22.5","0.2","1.0","8.0","0.0","0.4","8.6"
"Zonovan Knight","NYJ","32.0","131.6","0.4","5.7","49.0","0.2","0.2","24.0"
