"Player","Team","REC","YDS","TDS","FL","FPTS"
"Will Mallory","IND","6.6","79.6","0.5","0.0","14.4"
"","high","10.0","125.4","1.0","0.0","24.9"
"","low","0.3","3.3","0.0","0.1","4.1"
"Cole Turner","WAS","4.8","98.6","0.4","0.1","14.3"
"","high","7.0","245.0","0.4","0.0","42.0"
"","low","3.6","33.4","0.2","0.2","7.2"
"Trevon Wesco","TEN","7.9","68.0","0.6","0.0","14.3"
"","high","13.5","149.4","1.1","0.0","25.7"
"","low","2.4","24.2","0.3","0.1","9.4"
"Andrew Beck","HOU","7.7","69.1","0.3","0.0","14.3"
"","high","7.8","84.1","0.6","0.0","24.8"
"","low","7.6","59.0","0.0","0.0","12.4"
"Jody Fortson","KC","6.1","96.4","0.4","0.5","14.2"
"","high","7.7","154.2","0.8","0.0","24.2"
"","low","4.6","46.5","0.0","1.0","10.3"
"Armani Rogers","WAS","7.3","74.2","0.4","0.1","13.2"
"","high","7.3","79.8","0.5","0.1","18.0"
"","low","7.3","68.6","0.3","0.1","13.4"
"Ross Dwelley","SF","3.6","79.2","0.6","0.0","13.2"
"","high","7.0","157.0","2.0","0.0","20.8"
"","low","0.3","3.4","0.0","0.0","2.6"
"Luke Farrell","JAC","6.5","73.1","0.4","0.0","13.1"
"","high","12.0","122.0","1.0","0.0","18.5"
"","low","3.3","31.7","0.0","0.0","9.1"
"Johnny Mundt","MIN","6.9","71.7","0.4","0.0","13.0"
"","high","8.6","106.1","0.6","0.0","21.6"
"","low","4.3","37.4","0.0","0.1","9.2"
"Curtis Hodges","WAS","6.3","60.1","0.6","0.0","12.8"
"","high","10.0","97.0","1.0","0.0","13.1"
"","low","2.5","23.3","0.2","0.0","9.1"
"Quintin Morris","BUF","5.5","74.2","0.4","0.1","12.5"
"","high","6.9","114.0","0.6","0.0","22.6"
"","low","4.1","41.0","0.3","0.1","8.9"
"Jesper Horsted","LV","5.8","65.4","0.5","0.0","12.2"
"","high","11.0","101.0","1.0","0.0","19.1"
"","low","2.5","34.1","0.2","0.1","7.9"
"Devin Asiasi","CIN","5.6","67.5","0.5","0.0","12.2"
"","high","12.0","125.4","1.0","0.0","24.4"
"","low","0.5","4.3","0.1","0.1","4.2"
"Chris Manhertz","DEN","5.6","66.4","0.4","0.0","12.1"
"","high","10.0","113.1","1.0","0.0","21.5"
"","low","1.7","16.5","0.0","0.1","7.9"
"Shane Zylstra","DET","3.9","72.0","0.3","0.1","10.9"
"","high","3.9","102.8","0.4","0.1","20.0"
"","low","3.9","41.2","0.3","0.1","8.4"
"Anthony Firkser","NE","5.8","54.3","0.4","0.0","10.4"
"","high","5.8","54.3","0.4","0.0","10.4"
"","low","5.8","54.3","0.4","0.0","10.4"
"Giovanni Ricci","CAR","2.4","69.7","0.3","0.1","10.2"
"","high","2.4","102.8","0.4","0.0","19.2"
"","low","2.4","36.6","0.3","0.1","9.7"
"Eric Tomlinson","HOU","5.5","49.9","0.4","0.0","9.9"
"","high","7.4","64.4","0.5","0.0","19.5"
"","low","3.6","35.4","0.2","0.0","7.8"
"Mitchell Wilcox","CIN","6.3","52.6","0.3","0.0","9.9"
"","high","6.3","61.2","0.5","0.0","12.2"
"","low","6.3","44.1","0.0","0.0","10.4"
"Kevin Rader","TEN","5.5","44.1","0.4","0.0","9.6"
"","high","10.3","109.9","0.8","0.0","18.5"
"","low","0.8","8.3","0.2","0.1","5.8"
"Grant Calcaterra","PHI","3.4","61.9","0.3","0.1","9.6"
"","high","3.5","125.4","0.4","0.0","23.3"
"","low","3.3","27.2","0.2","0.1","6.2"
"Tommy Sweeney","NYG","3.7","62.0","0.3","0.1","9.3"
"","high","3.7","91.0","0.3","0.1","18.0"
"","low","3.7","33.0","0.2","0.1","6.5"
"Charlie Woerner","SF","3.2","54.6","0.3","0.1","8.8"
"","high","3.5","102.8","0.3","0.0","19.6"
"","low","2.9","27.8","0.3","0.1","6.6"
"Dominique Dafney","TB","3.9","39.8","0.3","0.0","7.7"
"","high","3.9","39.8","0.3","0.0","7.6"
"","low","3.9","39.8","0.3","0.0","7.6"
"David Wells","TB","3.2","31.7","0.4","0.0","7.5"
"","high","3.2","31.7","0.4","0.0","10.8"
"","low","3.2","31.7","0.4","0.0","10.8"
"Tanner Conner","MIA","3.9","37.7","0.3","0.0","7.5"
"","high","3.9","37.7","0.3","0.0","7.4"
"","low","3.9","37.7","0.3","0.0","7.4"
"Mason Schreck","HOU","3.6","35.2","0.2","0.0","6.8"
"","high","3.6","35.2","0.2","0.0","6.9"
"","low","3.6","35.2","0.2","0.0","6.9"
"Dalton Keene","HOU","3.6","35.1","0.2","0.0","6.8"
"","high","3.6","35.1","0.2","0.0","6.8"
"","low","3.6","35.1","0.2","0.0","6.8"
"Chris Myarick","NYG","3.7","34.0","0.3","0.0","6.7"
"","high","3.7","35.0","0.3","0.0","9.0"
"","low","3.7","33.0","0.2","0.0","6.6"
"Noah Togiai","ARI","3.0","31.7","0.2","0.0","6.2"
"","high","4.0","42.3","0.3","0.0","7.6"
"","low","2.0","21.1","0.2","0.0","7.0"
"Pharaoh Brown","IND","1.9","45.1","0.1","0.1","5.8"
"","high","3.1","98.1","0.2","0.0","16.3"
"","low","0.7","6.8","0.0","0.2","2.9"
"Feleipe Franks","ATL","3.1","29.0","0.2","0.0","5.8"
"","high","3.1","29.0","0.2","0.0","5.9"
"","low","3.1","29.0","0.2","0.0","5.9"
"Tyler Mabry","SEA","2.8","29.7","0.2","0.0","5.7"
"","high","4.1","39.2","0.2","0.0","6.8"
"","low","1.5","20.2","0.2","0.0","6.3"
"Kaden Smith","WAS","3.2","29.2","0.2","0.0","5.5"
"","high","3.2","29.2","0.2","0.0","5.7"
"","low","3.2","29.2","0.2","0.0","5.7"
"Tyler Davis","GB","2.5","24.8","0.3","0.0","5.5"
"","high","3.8","38.2","0.3","0.0","6.8"
"","low","1.2","11.5","0.3","0.0","5.2"
